Kingdom,Phylum,Class,Order,Family,Species,Common Name,State
Animalia,Annelida,Polychaeta,Canalipalpata,Serpulidae,Spirorbis borealis,Sinistral Spiral Tube Worm,Massachusetts
Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stereopalpus vestitus,,Wisconsin
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela sexguttata,Six-spotted Tiger Beetle,Massachusetts
Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Lucilia sericata,Common Green Bottle Fly,Massachusetts
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus marginatus,,Massachusetts
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Gyponana octolineata,Eight-lined Leafhopper,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,European Honey Bee,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus abnormis,,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus impatiens,,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius alienus,Cornfield Ant,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmica rubra,European Fire Ant,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium caespitum,Pavement Ant,Massachusetts
Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula maculata,Bald Faced Hornet,Wisconsin
Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes fuscatus,Native Paper Wasp,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Acrolophidae,Acrolophus morus,,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Pyrrharctia isabella,Isabella Tiger Moth, Banded Woolly Bear,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Nomophila nearctica,Lucerne Moth,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pediasia trisecta,Sod Webworm,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea rubigalis,Celery Leaftier,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea perlata,Pale Beauty,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pleuroprucha asthenaria,Asthene Wave Moth,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cupido comyntas,Eastern Tailed-Blue,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,Small Copper,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abagrotis alternata,Greater Red Dart,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agnorisma badinodis,Pale-banded Dart,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agonopterix thelmae,Thelma's Agonopterix Moth,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra glabella,Smooth Amphipyra,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra pyramidoides,Copper Underwing,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Idia aemula,Common Idia,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Idia americalis,American Idia,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Phlogophora periculosa,Brown Angle Shades,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera frugiperda,Fall Armyworm Moth,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Sunira bicolorago,Bicolored Sallow,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tetanolita mynesalis,Smoky Tetanolita,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia dilucida,Dull Reddish Dart,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Zanclognatha marcidilinea,Yellowish Zanclognatha,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria selene,Silver-bordered Fritillary,Wisconsin
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus plexippus,Monarch Butterfly,Wisconsin
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Junonia coenia,Common Buckeye,Wisconsin
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes cocyta,Northern Crescent,Wisconsin
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes tharos,Pearl Crescent,Massachusetts
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phycitodes reliquella,,Massachusetts
