1,name,Kingdom
2,name,Phylum
3,name,Class
4,name,Order
5,name,Family
6,name,Species
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
11,name,Noctuidae
11,type,5
11,belongs_to,10
12,name,Abagrotis alternata
12,type,6
12,belongs_to,11
13,name,Fungi
13,type,1
14,name,Ascomycota
14,type,2
14,belongs_to,13
15,name,Lecanoromycetes
15,type,3
15,belongs_to,14
16,name,Acarosporales
16,type,4
16,belongs_to,15
17,name,Acarosporaceae
17,type,5
17,belongs_to,16
18,name,Acarospora fuscata
18,type,6
18,belongs_to,17
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
21,name,Accipitriformes
21,type,4
21,belongs_to,20
22,name,Accipitridae
22,type,5
22,belongs_to,21
23,name,Accipiter cooperii
23,type,6
23,belongs_to,22
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
27,name,Sapindales
27,type,4
27,belongs_to,26
28,name,Sapindaceae
28,type,5
28,belongs_to,27
29,name,Acer pseudoplatanus
29,type,6
29,belongs_to,28
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
27,name,Sapindales
27,type,4
27,belongs_to,26
28,name,Sapindaceae
28,type,5
28,belongs_to,27
30,name,Acer rubrum
30,type,6
30,belongs_to,28
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
33,name,Achillea millefolium
33,type,6
33,belongs_to,32
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
34,name,Acrolophidae
34,type,5
34,belongs_to,10
35,name,Acrolophus morus
35,type,6
35,belongs_to,34
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
36,name,Lamiales
36,type,4
36,belongs_to,26
37,name,Scrophulariaceae
37,type,5
37,belongs_to,36
38,name,Agalinis acuta
38,type,6
38,belongs_to,37
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
11,name,Noctuidae
11,type,5
11,belongs_to,10
39,name,Agnorisma badinodis
39,type,6
39,belongs_to,11
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
11,name,Noctuidae
11,type,5
11,belongs_to,10
40,name,Agonopterix thelmae
40,type,6
40,belongs_to,11
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
41,name,Fagales
41,type,4
41,belongs_to,26
42,name,Betulaceae
42,type,5
42,belongs_to,41
43,name,Alnus glutinosa
43,type,6
43,belongs_to,42
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
48,name,Amanita aestivalis
48,type,6
48,belongs_to,47
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
