Animalia,is_type,Kingdom
Abagrotis alternata,belongs_to,Noctuidae
Abagrotis alternata,is_type,Species
Acarospora fuscata,belongs_to,Acarosporaceae
Acarospora fuscata,is_type,Species
Acarosporaceae,belongs_to,Acarosporales
Acarosporaceae,is_type,Family
Acarosporales,belongs_to,Lecanoromycetes
Acarosporales,is_type,Order
Accipiter cooperii,belongs_to,Accipitridae
Accipiter cooperii,is_type,Species
Accipitridae,belongs_to,Accipitriformes
Accipitridae,belongs_to,Accipitriformes
Accipitridae,belongs_to,Accipitriformes
Accipitridae,is_type,Family
Accipitridae,is_type,Family
Accipitridae,is_type,Family
Accipitriformes,belongs_to,Aves
Accipitriformes,belongs_to,Aves
Accipitriformes,belongs_to,Aves
Accipitriformes,belongs_to,Aves
Accipitriformes,belongs_to,Aves
Accipitriformes,is_type,Order
Accipitriformes,is_type,Order
Accipitriformes,is_type,Order
Accipitriformes,is_type,Order
Accipitriformes,is_type,Order
Acer pseudoplatanus,belongs_to,Sapindaceae
Acer pseudoplatanus,is_type,Species
Acer rubrum,belongs_to,Sapindaceae
Acer rubrum,is_type,Species
Achillea millefolium,belongs_to,Asteraceae
Achillea millefolium,is_type,Species
Acrididae,belongs_to,Orthoptera
Acrididae,is_type,Family
Acrolophidae,belongs_to,Lepidoptera
Acrolophidae,is_type,Family
Acrolophus morus,belongs_to,Acrolophidae
Acrolophus morus,is_type,Species
Actinopterygii,belongs_to,Chordata
Actinopterygii,belongs_to,Chordata
Actinopterygii,belongs_to,Chordata
Actinopterygii,is_type,Class
Actinopterygii,is_type,Class
Actinopterygii,is_type,Class
Agalinis acuta,belongs_to,Scrophulariaceae
Agalinis acuta,is_type,Species
Agaricaceae,belongs_to,Agaricales
Agaricaceae,belongs_to,Agaricales
Agaricaceae,is_type,Family
Agaricaceae,is_type,Family
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,belongs_to,Agaricomycetes
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricales,is_type,Order
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,belongs_to,Basidiomycota
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agaricomycetes,is_type,Class
Agnorisma badinodis,belongs_to,Noctuidae
Agnorisma badinodis,is_type,Species
Agonopterix thelmae,belongs_to,Noctuidae
Agonopterix thelmae,is_type,Species
Alcedinidae,belongs_to,Coraciiformes
Alcedinidae,is_type,Family
Alismatales,belongs_to,Liliopsida
Alismatales,is_type,Order
Alnus glutinosa,belongs_to,Betulaceae
Alnus glutinosa,is_type,Species
Amanita aestivalis,belongs_to,Amanitaceae
Amanita aestivalis,is_type,Species
Amanita amerifulva,belongs_to,Amanitaceae
Amanita amerifulva,is_type,Species
Amanita amerirubescens,belongs_to,Amanitaceae
Amanita amerirubescens,is_type,Species
Amanita brunescens,belongs_to,Amanitaceae
Amanita brunescens,is_type,Species
Amanita citrinia,belongs_to,Amanitaceae
Amanita citrinia,is_type,Species
Amanita crenulata,belongs_to,Amanitaceae
Amanita crenulata,is_type,Species
Amanita falvoconia,belongs_to,Amanitaceae
Amanita falvoconia,is_type,Species
Amanita flavorubens,belongs_to,Amanitaceae
Amanita flavorubens,is_type,Species
Amanita fulva,belongs_to,Amanitaceae
Amanita fulva,is_type,Species
Amanita solaneolens,belongs_to,Amanitaceae
Amanita solaneolens,is_type,Species
Amanita tuberosa,belongs_to,Amanitaceae
Amanita tuberosa,is_type,Species
Amanita virginiana,belongs_to,Amanitaceae
Amanita virginiana,is_type,Species
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,belongs_to,Agaricales
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Amanitaceae,is_type,Family
Ampelopsis brevipedunculata,belongs_to,Vitaceae
Ampelopsis brevipedunculata,is_type,Species
Amphibia,belongs_to,Chordata
Amphibia,belongs_to,Chordata
Amphibia,belongs_to,Chordata
Amphibia,belongs_to,Chordata
Amphibia,is_type,Class
Amphibia,is_type,Class
Amphibia,is_type,Class
Amphibia,is_type,Class
Amphipyra glabella,belongs_to,Noctuidae
Amphipyra glabella,is_type,Species
Amphipyra pyramidoides,belongs_to,Noctuidae
Amphipyra pyramidoides,is_type,Species
Anacardiaceae,belongs_to,Sapindales
Anacardiaceae,belongs_to,Sapindales
Anacardiaceae,belongs_to,Sapindales
Anacardiaceae,is_type,Family
Anacardiaceae,is_type,Family
Anacardiaceae,is_type,Family
Anas platyrhynchos,belongs_to,Anatidae
Anas platyrhynchos,is_type,Species
Anatidae,belongs_to,Anseriformes
Anatidae,belongs_to,Anseriformes
Anatidae,belongs_to,Anseriformes
Anatidae,is_type,Family
Anatidae,is_type,Family
Anatidae,is_type,Family
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
Animalia,is_type,Kingdom
